Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
3;Arcade;ArcadeCar-199932;13935;23;23;279,1616;300;8,148759;75;228,4938;635;31
4;Arcade;ArcadeCar-199932;6920;23;23;140,3761;300;16,23232;75;92,31359;640;33
5;Arcade;ArcadeCar-199932;15007;7;23;300;300;2,738166;75;6,100959;641;35
6;Arcade;ArcadeCar-199932;15125;15;23;300;300;4,99281;75;12,13346;645;31
7;Arcade;ArcadeCar-199932;2802;23;23;52,88978;300;37,98411;75;17,46333;647;25
8;Arcade;ArcadeCar-199932;14894;5;23;300;300;2,127343;75;3,333333;648;34
9;Arcade;ArcadeCar-199932;3500;23;23;68,65173;300;31,47125;75;21,16956;651;32
10;Arcade;ArcadeCar-199932;3539;23;23;68,95453;300;30,55762;75;12,89532;658;29
11;Arcade;ArcadeCar-199932;2665;23;23;55,57464;300;40,41839;75;22,23666;662;24
12;Arcade;ArcadeCar-199932;4172;23;23;82,07639;300;25,45429;75;18,95255;667;33
13;Arcade;ArcadeCar-199932;14984;8;23;300;300;2,932664;75;4,670625;670;29
14;Arcade;ArcadeCar-199932;3127;23;23;62,49017;300;34,58134;75;17,78051;672;27
15;Arcade;ArcadeCar-199932;15163;16;23;300;300;5,123405;75;265,3011;678;26
16;Arcade;ArcadeCar-199932;3540;23;23;70,73503;300;29,8038;75;10,53366;682;29
17;Arcade;ArcadeCar-199932;2755;23;23;55,11557;300;38,80613;75;23,16253;685;26
18;Arcade;ArcadeCar-199932;3152;23;23;63,03432;300;34,63784;75;11,12728;691;24
19;Arcade;ArcadeCar-199932;3312;23;23;65,18711;300;32,43577;75;10,67157;697;26
20;Arcade;ArcadeCar-199932;15042;1;23;300;300;0,7392492;75;1,169558;698;29
21;Arcade;ArcadeCar-199932;2802;23;23;52,84645;300;37,84227;75;11,59751;702;21
22;Arcade;ArcadeCar-199932;2904;23;23;60,60101;300;36,77102;75;19,05347;708;29
23;Arcade;ArcadeCar-199932;3024;23;23;61,0457;300;36,35188;75;12,15193;711;30
24;Arcade;ArcadeCar-199932;12100;23;23;240,2142;300;9,229528;75;13,00922;716;27
25;Arcade;ArcadeCar-199932;14910;15;23;300;300;4,916423;75;12,34312;718;35
26;Arcade;ArcadeCar-199932;8155;23;23;163,0442;300;13,30868;75;23,96055;724;30
27;Arcade;ArcadeCar-199932;2679;23;23;53,62405;300;40,25467;75;10,40334;725;27
28;Arcade;ArcadeCar-199932;15000;10;23;300;300;3,399573;75;281,0316;727;31
29;Arcade;ArcadeCar-199932;3574;23;23;71,41487;300;29,78034;75;16,9994;734;27
30;Arcade;ArcadeCar-199932;2739;23;23;54,80844;300;39,17811;75;11,90886;737;23
31;Arcade;ArcadeCar-199932;15000;10;23;300;300;3,446229;75;5,878104;740;32
32;Arcade;ArcadeCar-199932;15004;17;23;300;300;5,459036;75;16,48095;747;30
33;Arcade;ArcadeCar-199932;3401;23;23;67,9806;300;31,05291;75;19,26964;752;30
34;Arcade;ArcadeCar-199932;15000;9;23;300;300;3,229206;75;10,32363;753;31
35;Arcade;ArcadeCar-199932;15001;7;23;300;300;2,570897;75;17,40394;755;28
36;Arcade;ArcadeCar-199932;2832;23;23;56,57763;300;37,6706;75;14,78876;758;24
37;Arcade;ArcadeCar-199932;14998;18;23;300;300;5,966443;75;6,162465;759;28
38;Arcade;ArcadeCar-199932;3347;23;23;66,87183;300;31,5803;75;17,8332;765;31
39;Arcade;ArcadeCar-199932;3408;23;23;68,17807;300;30,86689;75;14,45055;772;29
40;Arcade;ArcadeCar-199932;14999;22;23;300;300;7,277655;75;11,17547;778;30
41;Arcade;ArcadeCar-199932;15003;10;23;300;300;3,427417;75;8,613865;780;29
42;Arcade;ArcadeCar-199932;15002;7;23;300;300;2,606174;75;287,8381;782;30
43;Arcade;ArcadeCar-199932;2529;23;23;50,56384;300;42,87601;75;6,121154;785;30
44;Arcade;ArcadeCar-199932;15002;17;23;300;300;5,645416;75;149,2405;790;27
45;Arcade;ArcadeCar-199932;15005;3;23;300;300;1,469173;75;294,1548;792;29
46;Arcade;ArcadeCar-199932;15001;14;23;300;300;4,548881;75;17,6699;795;33
47;Arcade;ArcadeCar-199932;15003;19;23;300;300;6,363196;75;6,37676;803;28
48;Arcade;ArcadeCar-199932;3016;23;23;60,25002;300;35,69592;75;12,85331;807;27
49;Arcade;ArcadeCar-199932;2755;23;23;55,10594;300;39,29745;75;13,38933;808;29
50;Arcade;ArcadeCar-199932;2754;23;23;55,08801;300;38,32413;75;12,65926;811;30
0;Arcade;ArcadeCar-299955;14999;16;23;300;300;5,461468;75;13,94024;816;32
1;Arcade;ArcadeCar-299955;2989;23;23;59,74976;300;35,95916;75;10,44581;822;29
2;Arcade;ArcadeCar-299955;15000;13;23;300;300;4,370194;75;10,64214;828;35
3;Arcade;ArcadeCar-299955;2637;23;23;52,70496;300;40,71919;75;8,128933;834;29
4;Arcade;ArcadeCar-299955;3198;23;23;63,94515;300;33,68749;75;15,06245;840;32
5;Arcade;ArcadeCar-299955;14690;23;23;293,7699;300;7,829025;75;21,41635;845;32
6;Arcade;ArcadeCar-299955;14999;4;23;300;300;2,034302;75;3,264393;846;29
7;Arcade;ArcadeCar-299955;9862;23;23;197,2057;300;11,13106;75;11,78534;851;23
8;Arcade;ArcadeCar-299955;15000;17;23;300;300;5,562993;75;8,21952;855;27
9;Arcade;ArcadeCar-299955;15001;3;23;300;300;1,621842;75;2,887592;856;27
10;Arcade;ArcadeCar-299955;13754;23;23;275,0499;300;8,366986;75;13,79208;863;30
11;Arcade;ArcadeCar-299955;9513;23;23;190,2828;300;11,62312;75;11,31325;870;30
12;Arcade;ArcadeCar-299955;3171;23;23;63,35574;300;34,42199;75;15,3835;877;34
13;Arcade;ArcadeCar-299955;2988;23;23;59,82914;300;36,46963;75;9,709136;885;26
14;Arcade;ArcadeCar-299955;2911;23;23;58,164;300;37,29739;75;10,47082;890;33
15;Arcade;ArcadeCar-299955;14998;4;23;300;300;1,970331;75;2,744633;891;31
16;Arcade;ArcadeCar-299955;7908;23;23;158,0938;300;14,12094;75;14,11109;899;31
17;Arcade;ArcadeCar-299955;2894;23;23;57,93155;300;37,30561;75;10,89813;903;25
18;Arcade;ArcadeCar-299955;3159;23;23;63,10484;300;33,36209;75;16,56357;907;31
19;Arcade;ArcadeCar-299955;3011;23;23;60,29677;300;35,21325;75;13,43523;912;34
20;Arcade;ArcadeCar-299955;6005;23;23;120,1023;300;18,16789;75;7,618468;916;27
21;Arcade;ArcadeCar-299955;15001;14;23;300;300;4,852036;75;6,022705;918;29
22;Arcade;ArcadeCar-299955;15001;13;23;300;300;4,333683;75;8,214298;923;28
23;Arcade;ArcadeCar-299955;9307;23;23;186,0637;300;11,77338;75;9,59589;927;29
24;Arcade;ArcadeCar-299955;2666;23;23;53,33554;300;39,19515;75;11,27222;929;27
25;Arcade;ArcadeCar-299955;3008;23;23;60,20425;300;36,23108;75;16,01175;933;29
26;Arcade;ArcadeCar-299955;15000;10;23;300;300;3,361555;75;2,290923;936;30
27;Arcade;ArcadeCar-299955;15002;3;23;300;300;1,55573;75;294,3689;937;27
28;Arcade;ArcadeCar-299955;15002;9;23;300;300;3,307884;75;4,362966;939;26
29;Arcade;ArcadeCar-299955;2917;23;23;58,26939;300;37,80362;75;14,60806;942;29
30;Arcade;ArcadeCar-299955;14998;17;23;300;300;5,621254;75;6,723192;947;27
31;Arcade;ArcadeCar-299955;2550;23;23;50,93502;300;41,38622;75;10,3384;948;28
