Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
18;Arcade;ArcadeCar-899988;2733;23;23;54,59098;300;40,08802;75;7,846651;704;30;
19;Arcade;ArcadeCar-899988;4597;23;23;92,00841;300;23,71294;75;8,363218;709;30;
20;Arcade;ArcadeCar-899988;2588;23;23;51,75978;300;42,80208;75;8,350207;712;31;
21;Arcade;ArcadeCar-899988;2548;23;23;50,95608;300;42,50859;75;9,02258;715;30;
22;Arcade;ArcadeCar-899988;3073;23;23;61,44925;300;36,06369;75;11,81721;723;34;
23;Arcade;ArcadeCar-899988;2513;23;23;50,27126;300;42,66669;75;8,304544;725;27;
24;Arcade;ArcadeCar-899988;2848;23;23;56,9639;300;37,94482;75;7,628442;730;29;
25;Arcade;ArcadeCar-899988;2624;23;23;52,47678;300;42,00779;75;8,684385;735;35;
26;Arcade;ArcadeCar-899988;14999;10;23;300;300;3,439683;75;4,681862;737;28;
27;Arcade;ArcadeCar-899988;3016;23;23;60,28491;300;35,4281;75;14,59414;743;32;
28;Arcade;ArcadeCar-899988;2698;23;23;53,96033;300;40,81462;75;13,14146;745;35;
29;Arcade;ArcadeCar-899988;15000;3;23;300;300;1,666333;75;2,456075;746;29;
30;Arcade;ArcadeCar-899988;1018;7;23;300;300;35,41029;75;4,898655;748;28;
31;Arcade;ArcadeCar-899988;3132;23;23;62,64165;300;35,03127;75;16,41872;753;31;
32;Arcade;ArcadeCar-899988;2710;23;23;54,20011;300;39,52975;75;8,180374;757;23;
33;Arcade;ArcadeCar-899988;3273;23;23;65,47391;300;33,21775;75;17,45082;765;29;
34;Arcade;ArcadeCar-899988;2604;23;23;52,07944;300;41,86065;75;9,356592;770;30;
35;Arcade;ArcadeCar-899988;3095;23;23;61,88831;300;34,95619;75;9,23642;780;33;
36;Arcade;ArcadeCar-899988;4104;23;23;82,08025;300;26,47789;75;14,07794;787;32;
37;Arcade;ArcadeCar-899988;2517;23;23;50,3527;300;42,18571;75;6,98091;791;28;
38;Arcade;ArcadeCar-899988;2866;23;23;57,32283;300;37,47294;75;5,711138;795;25;
39;Arcade;ArcadeCar-899988;2892;23;23;57,83654;300;37,06033;75;5,05741;805;31;
40;Arcade;ArcadeCar-899988;2415;23;23;48,28455;300;44,47392;75;8,402331;806;28;
41;Arcade;ArcadeCar-899988;2637;23;23;52,75723;300;41,63562;75;8,295416;809;31;
42;Arcade;ArcadeCar-899988;14999;4;23;300;300;1,902562;75;1,112578;811;30;
43;Arcade;ArcadeCar-899988;5342;23;23;106,8028;300;20,74601;75;36,61189;814;30;
44;Arcade;ArcadeCar-899988;5367;23;23;107,3556;300;20,33261;75;7,608131;820;30;
45;Arcade;ArcadeCar-899988;3030;23;23;60,60052;300;35,94454;75;10,1019;827;30;
46;Arcade;ArcadeCar-899988;3891;23;23;77,8036;300;28,26859;75;7,009676;831;31;
47;Arcade;ArcadeCar-899988;3693;23;23;73,87698;300;29,72488;75;31,14677;834;27;
48;Arcade;ArcadeCar-899988;2849;23;23;56,9621;300;38,00421;75;10,11452;839;28;
49;Arcade;ArcadeCar-899988;14999;6;23;300;300;2,434545;75;2,456375;841;31;
50;Arcade;ArcadeCar-899988;2541;23;23;50,79874;300;42,55882;75;9,154037;844;23;
0;Arcade;ArcadeCar-999975;15000;22;23;300;300;7,434538;75;10,85544;850;33;
1;Arcade;ArcadeCar-999975;15000;18;23;300;300;6,044427;75;5,814948;855;30;
2;Arcade;ArcadeCar-999975;2601;23;23;52,00777;300;41,41925;75;8,178307;859;34;
