Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
9;Arcade;ArcadeCar-399981;2754;23;23;55,07828;300;39,07643;75;15,28125;0;0
10;Arcade;ArcadeCar-399981;2881;23;23;57,61868;300;37,28495;75;18,64469;0;0
11;Arcade;ArcadeCar-399981;2745;23;23;54,90181;300;38,90166;75;15,6446;0;0
12;Arcade;ArcadeCar-399981;2651;23;23;53,02075;300;40,4507;75;13,38239;0;0
13;Arcade;ArcadeCar-399981;2658;23;23;53,14268;300;40,4384;75;13,39754;0;0
14;Arcade;ArcadeCar-399981;2687;23;23;53,75494;300;39,71547;75;14,3314;0;0
15;Arcade;ArcadeCar-399981;2773;23;23;55,46089;300;38,85902;75;15,54143;0;0
16;Arcade;ArcadeCar-399981;2707;23;23;54,13771;300;39,61167;75;14,24669;0;0
17;Arcade;ArcadeCar-399981;2776;23;23;55,51998;300;38,70146;75;15,71173;0;0
18;Arcade;ArcadeCar-399981;2789;23;23;55,76674;300;38,51065;75;16,43863;0;0
19;Arcade;ArcadeCar-399981;2653;23;23;53,07416;300;40,41015;75;12,94206;0;0
20;Arcade;ArcadeCar-399981;2661;23;23;53,22282;300;40,36865;75;13,66943;0;0
21;Arcade;ArcadeCar-399981;2783;23;23;55,65851;300;38,7972;75;15,90373;0;0
22;Arcade;ArcadeCar-399981;2787;23;23;55,72372;300;38,72955;75;15,92364;0;0
23;Arcade;ArcadeCar-399981;2682;23;23;53,64114;300;39,88144;75;10,35545;0;0
24;Arcade;ArcadeCar-399981;2712;23;23;54,24077;300;39,2588;75;15,83096;0;0
25;Arcade;ArcadeCar-399981;2727;23;23;54,55519;300;38,9199;75;14,69198;0;0
0;Arcade;ArcadeCar-499969;2611;23;23;52,20348;300;40,75822;75;12,92605;0;0
1;Arcade;ArcadeCar-499969;2607;23;23;52,15443;300;41,33755;75;12,81264;0;0
2;Arcade;ArcadeCar-499969;2538;23;23;50,75999;300;42,13361;75;11,50116;0;0
3;Arcade;ArcadeCar-499969;2496;23;23;49,92237;300;42,65409;75;10,72603;0;0
4;Arcade;ArcadeCar-499969;2536;23;23;50,71756;300;42,02688;75;11,21245;0;0
5;Arcade;ArcadeCar-499969;2548;23;23;50,96062;300;42,01616;75;11,50657;0;0
6;Arcade;ArcadeCar-499969;2695;23;23;53,90068;300;39,87614;75;15,09618;0;0
7;Arcade;ArcadeCar-499969;2633;23;23;52,6591;300;40,77774;75;13,81047;0;0
8;Arcade;ArcadeCar-499969;2583;23;23;51,65976;300;41,40525;75;12,40461;0;0
9;Arcade;ArcadeCar-499969;2897;23;23;57,94195;300;37,35172;75;19,81252;0;0
10;Arcade;ArcadeCar-499969;2581;23;23;51,6184;300;41,2006;75;12,4877;0;0
11;Arcade;ArcadeCar-499969;2504;23;23;50,06516;300;42,45353;75;10,71517;0;0
12;Arcade;ArcadeCar-499969;2559;23;23;51,19337;300;41,7039;75;11,82601;0;0
13;Arcade;ArcadeCar-499969;2573;23;23;51,46095;300;41,46978;75;12,23571;0;0
14;Arcade;ArcadeCar-499969;2777;23;23;55,53915;300;38,53068;75;17,56482;0;0
15;Arcade;ArcadeCar-499969;2541;23;23;50,82208;300;41,79623;75;11,72655;0;0
16;Arcade;ArcadeCar-499969;2539;23;23;50,77832;300;41,93731;75;12,11447;0;0
17;Arcade;ArcadeCar-499969;2479;23;23;49,57969;300;42,86813;75;9,990653;0;0
18;Arcade;ArcadeCar-499969;2578;23;23;51,56218;300;41,71632;75;12,03164;0;0
19;Arcade;ArcadeCar-499969;2481;23;23;49,61934;300;42,99769;75;9,902538;0;0
20;Arcade;ArcadeCar-499969;2569;23;23;51,37901;300;41,49544;75;11,85302;0;0
21;Arcade;ArcadeCar-499969;2599;23;23;51,98182;300;41,31302;75;12,36838;0;0
22;Arcade;ArcadeCar-499969;2553;23;23;51,06006;300;41,95907;75;11,15546;0;0
23;Arcade;ArcadeCar-499969;2547;23;23;50,93929;300;41,31813;75;13,03086;0;0
24;Arcade;ArcadeCar-499969;2519;23;23;50,36217;300;42,62827;75;11,3663;0;0
25;Arcade;ArcadeCar-499969;2554;23;23;51,09675;300;41,46846;75;11,53299;0;0
0;Arcade;ArcadeCar-599912;2659;23;23;53,18172;300;40,70064;75;13,80364;0;0
1;Arcade;ArcadeCar-599912;2634;23;23;52,67858;300;41,39842;75;12,37502;0;0
2;Arcade;ArcadeCar-599912;2488;23;23;49,76017;300;43,34093;75;9,320375;0;0
3;Arcade;ArcadeCar-599912;2562;23;23;51,24181;300;42,04285;75;11,25174;0;0
4;Arcade;ArcadeCar-599912;2476;23;23;49,51939;300;43,31361;75;9,654973;0;0
5;Arcade;ArcadeCar-599912;2498;23;23;49,9592;300;42,91306;75;10,12675;0;0
6;Arcade;ArcadeCar-599912;2545;23;23;50,89787;300;42,45894;75;10,40129;0;0
7;Arcade;ArcadeCar-599912;2479;23;23;49,57949;300;43,4217;75;9,240909;0;0
8;Arcade;ArcadeCar-599912;2424;23;23;48,48077;300;43,95269;75;8,650514;0;0
9;Arcade;ArcadeCar-599912;2501;23;23;50,02016;300;42,75114;75;10,4114;0;0
10;Arcade;ArcadeCar-599912;2767;23;23;55,34234;300;39,19526;75;16,06866;0;0
11;Arcade;ArcadeCar-599912;2538;23;23;50,75863;300;42,4823;75;10,98158;0;0
12;Arcade;ArcadeCar-599912;2516;23;23;50,32033;300;42,9803;75;10,05673;0;0
13;Arcade;ArcadeCar-599912;2551;23;23;51,00562;300;42,08466;75;10,9385;0;0
14;Arcade;ArcadeCar-599912;2654;23;23;53,07876;300;40,32195;75;13,61047;0;0
15;Arcade;ArcadeCar-599912;2526;23;23;50,52187;300;42,39502;75;10,51618;0;0
