Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Obstacle Time
8;Arcade;ArcadeCar-99953;1997;17;17;39,9379;300;36,18366;75;4,974397;1;20;0,0189816
9;Arcade;ArcadeCar-99953;2525;17;17;50,50086;300;28,62552;75;15,05514;2;14;0,0767348
10;Arcade;ArcadeCar-99953;5222;17;17;104,4402;300;13,9195;75;8,646534;3;19;56,98211
11;Arcade;ArcadeCar-99953;15000;12;17;300;300;4,06703;75;269,5507;3;19;260,1919
12;Arcade;ArcadeCar-99953;2191;17;17;43,81181;300;33,03014;75;8,842225;3;21;0,164173
13;Arcade;ArcadeCar-99953;4907;17;17;98,14471;300;15,07615;75;3,155498;3;20;57,08303
14;Arcade;ArcadeCar-99953;2945;17;17;58,90023;300;24,89494;75;16,0585;3;21;8,79798
15;Arcade;ArcadeCar-99953;13998;17;17;279,9586;300;5,566873;75;11,62799;5;22;227,2803
16;Arcade;ArcadeCar-99953;2240;17;17;44,79575;300;31,35383;75;10,83335;1;13;0,119472
17;Arcade;ArcadeCar-99953;14999;14;17;300;300;4,531773;75;7,742032;3;21;255,6714
18;Arcade;ArcadeCar-99953;15001;3;17;300;300;1,366057;75;0,2552058;2;20;290,6437
19;Arcade;ArcadeCar-99953;2597;17;17;51,93078;300;27,35882;75;9,454783;2;18;5,13927
20;Arcade;ArcadeCar-99953;2727;17;17;54,53948;300;26,17583;75;12,94491;3;18;4,008056
21;Arcade;ArcadeCar-99953;14999;1;17;300;300;0,7189783;75;0,2774212;1;24;296,7933
22;Arcade;ArcadeCar-99953;12476;17;17;249,4891;300;6,167391;75;5,264864;2;20;207,8224
23;Arcade;ArcadeCar-99953;13399;17;17;267,9862;300;5,88863;75;6,432891;1;22;224,8077
24;Arcade;ArcadeCar-99953;3020;17;17;60,39954;300;24,09465;75;17,04868;4;19;7,689396
25;Arcade;ArcadeCar-99953;2209;17;17;44,1831;300;33,07743;75;4,712374;4;19;0,6281082
26;Arcade;ArcadeCar-99953;3716;17;17;74,31746;300;19,57755;75;6,761524;2;26;28,70498
27;Arcade;ArcadeCar-99953;2577;17;17;51,54463;300;27,76624;75;9,088251;5;20;3,669181
28;Arcade;ArcadeCar-99953;3252;17;17;65,03737;300;22,3641;75;13,14109;5;22;11,67317
29;Arcade;ArcadeCar-99953;14999;13;17;300;300;4,280699;75;8,914467;2;18;262,9561
30;Arcade;ArcadeCar-99953;2242;17;17;44,81798;300;32,08005;75;6,5639;2;21;0,8456358
31;Arcade;ArcadeCar-99953;2443;17;17;48,85116;300;29,51067;75;8,559058;3;17;2,129201
32;Arcade;ArcadeCar-99953;2782;17;17;55,64965;300;25,22892;75;11,68205;5;18;6,823061
33;Arcade;ArcadeCar-99953;2557;17;17;51,1375;300;28,31739;75;10,6054;4;22;1,761279
34;Arcade;ArcadeCar-99953;4868;17;17;97,36092;300;15,02467;75;4,556941;3;20;53,72025
35;Arcade;ArcadeCar-99953;2283;17;17;45,66329;300;31,35766;75;11,96792;0;22;0
36;Arcade;ArcadeCar-99953;2673;17;17;53,45331;300;26,41117;75;15,7802;3;22;3,119987
37;Arcade;ArcadeCar-99953;2671;17;17;53,4204;300;26,81938;75;13,92216;2;19;4,702607
38;Arcade;ArcadeCar-99953;2086;17;17;41,72121;300;34,33043;75;6,324477;1;22;0,06014881
39;Arcade;ArcadeCar-99953;15000;7;17;300;300;2,470946;75;0,2595834;4;22;279,7427
40;Arcade;ArcadeCar-99953;2435;17;17;48,69242;300;29,60105;75;14,28398;3;21;0,3010196
41;Arcade;ArcadeCar-99953;2771;17;17;55,41993;300;26,42912;75;6,85724;3;23;9,408698
42;Arcade;ArcadeCar-99953;2183;17;17;43,66038;300;32,36547;75;10,31258;1;15;0,01902041
43;Arcade;ArcadeCar-99953;2172;17;17;43,4409;300;33,61414;75;5,967766;5;17;0,4756606
44;Arcade;ArcadeCar-99953;14999;12;17;300;300;4,040427;75;5,418568;3;23;265,0086
45;Arcade;ArcadeCar-99953;2240;17;17;44,78307;300;32,10909;75;11,69447;0;18;0
46;Arcade;ArcadeCar-99953;2483;17;17;49,65649;300;29,15486;75;9,791486;1;13;5,18714
47;Arcade;ArcadeCar-99953;2475;17;17;49,50173;300;29,60567;75;9,656313;3;16;1,94207
48;Arcade;ArcadeCar-99953;1807;17;17;36,14145;300;39,60791;75;2,866961;0;20;0
49;Arcade;ArcadeCar-99953;15000;8;17;300;300;2,890539;75;4,012766;2;19;276,2126
50;Arcade;ArcadeCar-99953;2570;17;17;51,39611;300;27,7088;75;10,44903;2;22;4,56104
0;Arcade;ArcadeCar-199882;2713;17;17;54,2549;300;26,46103;75;4,085705;2;22;11,79935
1;Arcade;ArcadeCar-199882;2282;17;17;45,64371;300;31,43339;75;6,536468;3;23;1,602058
2;Arcade;ArcadeCar-199882;5112;17;17;102,237;300;14,37232;75;4,735225;6;22;57,45414
3;Arcade;ArcadeCar-199882;2092;17;17;41,84271;300;34,68869;75;3,257284;3;20;1,610415
4;Arcade;ArcadeCar-199882;9669;17;17;193,3777;300;7,631349;75;15,27948;4;18;144,4011
5;Arcade;ArcadeCar-199882;2538;17;17;50,75668;300;28,16309;75;14,39765;2;15;0,7026934
6;Arcade;ArcadeCar-199882;9145;17;17;182,9;300;8,263224;75;6,805974;6;23;138,2804
7;Arcade;ArcadeCar-199882;2048;17;17;40,96366;300;35,45451;75;4,656627;4;17;0,164211
8;Arcade;ArcadeCar-199882;2055;17;17;41,09951;300;34,97512;75;7,65237;0;20;0
9;Arcade;ArcadeCar-199882;2891;17;17;57,81956;300;24,87877;75;14,93723;5;24;4,342125
10;Arcade;ArcadeCar-199882;2388;17;17;47,75908;300;30,12519;75;3,281149;5;20;5,563938
11;Arcade;ArcadeCar-199882;11616;17;17;232,3202;300;6,634795;75;8,505926;2;19;188,7822
12;Arcade;ArcadeCar-199882;2296;17;17;45,9228;300;31,88157;75;7,069521;4;17;1,5752
13;Arcade;ArcadeCar-199882;3006;17;17;60,12111;300;24,43578;75;9,28574;6;21;10,40847
14;Arcade;ArcadeCar-199882;2092;17;17;41,84135;300;34,58868;75;2,824376;1;18;3,092433
15;Arcade;ArcadeCar-199882;2143;17;17;42,85816;300;33,90126;75;3,917285;2;17;1,844951
16;Arcade;ArcadeCar-199882;2072;17;17;41,44232;300;34,90945;75;4,669736;3;18;0,9628791
17;Arcade;ArcadeCar-199882;2468;17;17;49,35651;300;29,91896;75;7,531484;2;22;4,853659
18;Arcade;ArcadeCar-199882;15000;13;17;300;300;4,266574;75;11,98078;2;22;262,9905
19;Arcade;ArcadeCar-199882;3716;17;17;74,31184;300;19,56627;75;8,16148;5;21;26,44996
20;Arcade;ArcadeCar-199882;4962;17;17;99,24615;300;14,65146;75;9,53926;3;22;51,12027
21;Arcade;ArcadeCar-199882;2654;17;17;53,07487;300;27,12246;75;9,799907;3;17;5,919757
22;Arcade;ArcadeCar-199882;8946;17;17;178,9196;300;8,48359;75;135,8996;5;20;134,0857
23;Arcade;ArcadeCar-199882;2053;17;17;41,05997;300;34,37352;75;7,739774;3;18;0,186295
24;Arcade;ArcadeCar-199882;2167;17;17;43,33932;300;33,28308;75;4,659357;1;19;2,955913
25;Arcade;ArcadeCar-199882;14999;1;17;300;300;0,7187621;75;0,261519;1;20;297,035
26;Arcade;ArcadeCar-199882;2554;17;17;51,05352;300;28,21957;75;4,955653;3;16;5,982106
27;Arcade;ArcadeCar-199882;2162;17;17;43,24137;300;33,02081;75;5,093431;4;23;2,298007
