Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Obstacle Time
24;Arcade;ArcadeCar-199923;2405;17;17;48,10013;300;29,44536;75;9,927312;2;22;7,065897
25;Arcade;ArcadeCar-199923;15000;16;17;300;300;5,117612;75;10,33858;2;21;257,5777
26;Arcade;ArcadeCar-199923;2611;17;17;52,21436;300;27,14972;75;12,44614;3;23;5,859065
27;Arcade;ArcadeCar-199923;15000;7;17;300;300;2,756009;75;1,946901;1;18;281,1929
28;Arcade;ArcadeCar-199923;2327;17;17;46,53381;300;30,66952;75;12,40951;2;20;6,166294
29;Arcade;ArcadeCar-199923;2129;17;17;42,58072;300;34,09446;75;7,389518;3;18;2,079494
30;Arcade;ArcadeCar-199923;14999;5;17;300;300;2,131874;75;6,082865;3;19;282,9832
31;Arcade;ArcadeCar-199923;1930;17;17;38,58197;300;37,35394;75;2,765536;2;21;1,036467
32;Arcade;ArcadeCar-199923;15000;12;17;300;300;4,095077;75;7,706223;4;25;261,7356
33;Arcade;ArcadeCar-199923;2376;17;17;47,27863;300;30,38617;75;12,99875;4;20;1,997189
34;Arcade;ArcadeCar-199923;1779;17;17;35,81808;300;40,6732;75;1,895122;1;16;0,0639624
35;Arcade;ArcadeCar-199923;2127;17;17;42,53587;300;34,0091;75;4,569439;1;20;3,596906
36;Arcade;ArcadeCar-199923;2145;17;17;42,90016;300;33,14658;75;7,581124;2;20;0,1652602
37;Arcade;ArcadeCar-199923;2005;17;17;40,09929;300;36,26188;75;5,287251;3;20;0,6308396
38;Arcade;ArcadeCar-199923;1760;17;17;35,20144;300;40,60209;75;3,120958;1;13;0,0658538
39;Arcade;ArcadeCar-199923;1931;17;17;38,61974;300;37,02827;75;5,855585;1;17;0,0375822
40;Arcade;ArcadeCar-199923;2352;17;17;47,04197;300;29,66231;75;11,03788;2;19;3,374747
41;Arcade;ArcadeCar-199923;14999;5;17;300;300;2,053715;75;0,308502;1;20;287,4383
